MtrunA17CPg0492181	NAD(P)H-quinone oxidoreductase subunit 5
MtrunA17Chr1g0148351	Putative 16S rRNA (cytosine(1402)-N(4))-methyltransferase
MtrunA17Chr1g0148361	hypothetical protein
MtrunA17Chr1g0148371	Putative mRNA splicing factor Cwf21 domain-containing protein
MtrunA17Chr1g0148381	hypothetical protein
MtrunA17Chr1g0148391	Putative glucan endo-1,3-beta-D-glucosidase
MtrunA17Chr1g0148401	Putative deoxyribonuclease V
MtrunA17Chr1g0148411	Putative Zf-FLZ domain-containing protein
MtrunA17Chr1g0148421	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr1g0148431	hypothetical protein
MtrunA17Chr1g0148441	hypothetical protein
MtrunA17Chr1g0148451	hypothetical protein
MtrunA17Chr1g0148461	Putative protein kinase RLK-Pelle-WAK family
MtrunA17Chr1g0148471	hypothetical protein
MtrunA17Chr1g0148481	Putative wall-associated receptor kinase, galacturonan-binding domain-containing protein
MtrunA17Chr1g0148491	Putative protein kinase RLK-Pelle-WAK family
MtrunA17Chr1g0148501	Putative protein kinase RLK-Pelle-WAK family
MtrunA17Chr1g0148511	Putative protein kinase RLK-Pelle-WAK family
MtrunA17Chr1g0148521	Putative molybdate transporter 1/2
MtrunA17Chr1g0148531	hypothetical protein
MtrunA17Chr1g0148541	Putative histone-lysine N-methyltransferase
MtrunA17Chr1g0148561	Putative translocation and assembly module TamB
MtrunA17Chr1g0148571	Putative ubiquitin system component Cue
MtrunA17Chr1g0148581	Putative Late nodulin
MtrunA17Chr1g0148591	hypothetical protein
MtrunA17Chr1g0148601	Putative Late nodulin
MtrunA17Chr1g0148611	Putative nucleic acid-binding protein
MtrunA17Chr1g0148621	hypothetical protein
MtrunA17Chr1g0148631	Putative transcription factor C2H2 family
MtrunA17Chr1g0148641	Putative F-box domain, FBD domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr1g0148651	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr1g0148661	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr1g0148671	Putative protein phosphatase 2A, regulatory B subunit, B56
MtrunA17Chr1g0148681	Putative cyclin
MtrunA17Chr1g0148691	hypothetical protein
MtrunA17Chr1g0148701	hypothetical protein
MtrunA17Chr1g0148711	Putative nucleic acid-binding protein
MtrunA17Chr1g0148721	hypothetical protein
MtrunA17Chr1g0148731	Putative Beta-grasp domain-containing protein
MtrunA17Chr1g0148741	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr1g0148751	hypothetical protein
MtrunA17Chr1g0148761	hypothetical protein
MtrunA17Chr1g0148771	Putative gibberellin 3-beta-dioxygenase
MtrunA17Chr1g0148781	Putative oxoglutarate/iron-dependent dioxygenase, non-heme dioxygenase domain-containing protein
MtrunA17Chr1g0148791	Putative transcription factor WD40-like family
MtrunA17Chr1g0148801	Putative indole-3-pyruvate monooxygenase
MtrunA17Chr1g0148811	Putative monosaccharide-transporting ATPase
MtrunA17Chr1g0148821	hypothetical protein
MtrunA17Chr1g0148831	hypothetical protein
MtrunA17Chr1g0148841	Putative sulfate-transporting ATPase
MtrunA17Chr1g0148851	Putative shikimate O-hydroxycinnamoyltransferase
MtrunA17Chr1g0148871	Putative ATPase, AAA-type, core, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr1g0148881	Putative FAD/NAD(P)-binding domain-containing protein
MtrunA17Chr1g0148891	Putative FAD/NAD(P)-binding domain-containing protein
MtrunA17Chr1g0148901	Putative PRP1 splicing factor, tetratricopeptide-like helical domain-containing protein
MtrunA17Chr1g0148911	Putative 3-hydroxybenzoate 6-monooxygenase
MtrunA17Chr1g0148921	Putative poly(A)-specific ribonuclease
MtrunA17Chr1g0148931	hypothetical protein
MtrunA17Chr1g0148941	hypothetical protein
MtrunA17Chr1g0148951	Putative transcription factor Hap3/NF-YB family
MtrunA17Chr1g0148961	Putative transcription factor Hap3/NF-YB family
MtrunA17Chr1g0148971	Putative bicarbonate transporter
MtrunA17Chr1g0148981	Putative potassium channel, voltage-dependent, EAG/ELK/ERG, ankyrin repeat-containing
MtrunA17Chr1g0148991	Putative cytochrome b-c1 complex subunit 7
MtrunA17Chr1g0149001	hypothetical protein
MtrunA17Chr1g0149011	hypothetical protein
MtrunA17Chr1g0149051	Putative Galactose-binding domain-containing protein
MtrunA17Chr1g0149061	Putative peptidylprolyl isomerase
MtrunA17Chr1g0149071	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr1g0149081	Putative peptidase M48
MtrunA17Chr1g0149091	Putative peptidase M48
MtrunA17Chr1g0149101	Putative transcription factor Tesmin family
MtrunA17Chr1g0149111	Putative mitochondrial carrier protein
MtrunA17Chr1g0149131	Putative MULE transposase domain, FHY3/FAR1 family
MtrunA17Chr1g0149141	hypothetical protein
MtrunA17Chr1g0149151	hypothetical protein
MtrunA17Chr1g0149161	hypothetical protein
MtrunA17Chr1g0149171	hypothetical protein
MtrunA17Chr1g0149181	Putative glomulin/ALF4
MtrunA17Chr1g0149191	hypothetical protein
MtrunA17Chr1g0149201	hypothetical protein
MtrunA17Chr1g0149211	hypothetical protein
MtrunA17Chr1g0149221	Putative ATPase, AFG1, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr1g0149231	Putative tetratricopeptide-like helical domain, DYW domain-containing protein
MtrunA17Chr1g0149241	Putative polygalacturonase
MtrunA17Chr1g0149251	Putative RNA helicase
MtrunA17Chr1g0149261	Putative RNA helicase
MtrunA17Chr1g0149271	Putative carboxylesterase
MtrunA17Chr1g0149281	hypothetical protein
MtrunA17Chr1g0149301	Putative SPX domain-containing protein
MtrunA17Chr1g0149311	hypothetical protein
MtrunA17Chr1g0149321	hypothetical protein
MtrunA17Chr1g0149331	Putative transcription factor AP2-EREBP family
MtrunA17Chr1g0149341	hypothetical protein
MtrunA17Chr1g0149351	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr1g0149361	hypothetical protein
MtrunA17Chr1g0149371	Putative N-acetyl-gamma-glutamyl-phosphate reductase
MtrunA17Chr1g0149381	Putative protein kinase RLK-Pelle-SD-2b family
MtrunA17Chr1g0149391	Putative transcription factor MADS-type1 family
MtrunA17Chr1g0149401	Putative sugar phosphate transporter domain-containing protein
MtrunA17Chr1g0149411	hypothetical protein
MtrunA17Chr1g0149451	Putative protein kinase TKL-Pl-1 family
MtrunA17Chr1g0149461	hypothetical protein
MtrunA17Chr1g0149471	Putative bifunctional inhibitor/plant lipid transfer protein/seed storage helical
MtrunA17Chr1g0149481	Putative bifunctional inhibitor/plant lipid transfer protein/seed storage helical
MtrunA17Chr1g0149491	Putative bifunctional inhibitor/plant lipid transfer protein/seed storage helical
MtrunA17Chr1g0149501	Putative transcription factor FAR family
MtrunA17Chr1g0149511	Putative EamA domain-containing protein
MtrunA17Chr1g0149521	Putative galactosylxylosylprotein 3-beta-galactosyltransferase
MtrunA17Chr1g0149531	hypothetical protein
MtrunA17Chr1g0149541	Putative transcription factor WD40-like family
MtrunA17Chr1g0149551	Putative MEMO1 family protein
MtrunA17Chr1g0149561	Putative PB1 domain, tetratricopeptide-like helical domain-containing protein
MtrunA17Chr1g0149571	Putative EF-hand domain pair protein
MtrunA17Chr1g0149581	Putative histone-lysine N-methyltransferase transcription regulator SET family
MtrunA17Chr1g0149601	hypothetical protein
MtrunA17Chr1g0149611	Putative histone-lysine N-methyltransferase transcription regulator SET family
MtrunA17Chr1g0149621	hypothetical protein
MtrunA17Chr1g0149641	hypothetical protein
MtrunA17Chr1g0149651	Putative transcription factor Homeodomain-TALE-KNOX family
MtrunA17Chr1g0149661	Putative TRAPP II complex, Trs120 protein
MtrunA17Chr1g0149671	Putative ribosome biogenesis protein BRX1
MtrunA17Chr1g0149681	Putative von Willebrand factor, type A
MtrunA17Chr1g0149691	hypothetical protein
MtrunA17Chr1g0149701	Putative glomulin/ALF4
MtrunA17Chr1g0149711	Putative protein kinase RLK-Pelle-RLCK-X family
MtrunA17Chr1g0149721	Aspartate aminotransferase P2
MtrunA17Chr1g0149731	hypothetical protein
MtrunA17Chr1g0149751	hypothetical protein
MtrunA17Chr1g0149761	Putative ribosomal protein L39e
MtrunA17Chr1g0149771	hypothetical protein
MtrunA17Chr1g0149781	hypothetical protein
MtrunA17Chr1g0149791	Putative PPPDE putative peptidase domain-containing protein
MtrunA17Chr1g0149801	Putative mitochondrial glycoprotein
MtrunA17Chr1g0149811	Putative transcription factor C2H2 family
MtrunA17Chr1g0149821	Putative glycoside hydrolase family 18, catalytic domain, glycoside hydrolase superfamily
MtrunA17Chr1g0149831	Putative response regulator and transcription factor RR-A-type family
MtrunA17Chr1g0149841	Putative response regulator and transcription factor RR-B-type family
MtrunA17Chr1g0149851	Putative response regulator and transcription factor RR-B-type family
MtrunA17Chr1g0149861	Putative DNA helicase transcription regulator Homeodomain-LIKE family
MtrunA17Chr1g0149871	Putative DNA helicase chromatin regulator PHD family
MtrunA17Chr1g0149891	Putative peptidase M48
MtrunA17Chr1g0149901	Putative peptidase M48
MtrunA17Chr1g0149921	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr1g0149931	hypothetical protein
MtrunA17Chr1g0149941	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr1g0149951	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr1g0149961	Putative glyceraldehyde-3-phosphate dehydrogenase (NADP(+))
MtrunA17Chr1g0149971	hypothetical protein
MtrunA17Chr1g0149991	Putative ubiquitinyl hydrolase 1
MtrunA17Chr1g0150001	Putative folate-biopterin transporter, major facilitator superfamily domain-containing protein
MtrunA17Chr1g0150011	Putative protein kinase RLK-Pelle-L-LEC family
MtrunA17Chr1g0150021	Putative enhancer of rudimentary
MtrunA17Chr1g0150031	Putative folate-biopterin transporter, major facilitator superfamily domain-containing protein
MtrunA17Chr1g0150041	Putative folate-biopterin transporter, major facilitator superfamily domain-containing protein
MtrunA17Chr1g0150051	hypothetical protein
MtrunA17Chr1g0150061	Phospholipid hydroperoxide glutathione peroxidase
MtrunA17Chr1g0150071	Putative protein-serine/threonine phosphatase
MtrunA17Chr1g0150081	Putative tubby-like domain-containing protein
MtrunA17Chr1g0150091	Putative tubby-like domain-containing protein
MtrunA17Chr1g0150101	Putative tubby-like domain-containing protein
MtrunA17Chr1g0150111	Putative aspartate--tRNA ligase
MtrunA17Chr1g0150121	Putative exosome-associated factor Rrp47/DNA strand repair C1D
MtrunA17Chr1g0150131	Putative cupredoxin
MtrunA17Chr1g0150141	hypothetical protein
MtrunA17Chr1g0150151	Putative EamA domain-containing protein
MtrunA17Chr1g0150161	18.1 kDa class I heat shock protein
MtrunA17Chr1g0150171	hypothetical protein
MtrunA17Chr1g0150181	Putative nonaspanin (TM9SF), major facilitator superfamily domain-containing protein
MtrunA17Chr1g0150191	Putative BTB/POZ domain-containing protein NPY1
MtrunA17Chr1g0150201	hypothetical protein
MtrunA17Chr1g0150211	hypothetical protein
MtrunA17Chr1g0150221	Putative 3-hydroxyisobutyryl-CoA hydrolase
MtrunA17Chr1g0150231	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr1g0150241	Putative chorismate mutase
MtrunA17Chr1g0150251	hypothetical protein
MtrunA17Chr1g0150261	Putative C2 domain, formin, FH2 domain, protein-tyrosine phosphatase
MtrunA17Chr1g0150271	Putative transcription factor WRKY family
MtrunA17Chr1g0150281	Putative transcription factor WRKY family
MtrunA17Chr1g0150291	Putative polygalacturonase
MtrunA17Chr1g0150301	Putative polygalacturonase
MtrunA17Chr1g0150311	hypothetical protein
MtrunA17Chr1g0150321	Putative protein kinase CAMK-CAMKL-CHK1 family
MtrunA17Chr1g0150331	Putative protein-synthesizing GTPase
MtrunA17Chr1g0150341	hypothetical protein
MtrunA17Chr1g0150351	hypothetical protein
MtrunA17Chr1g0150361	Putative monogalactosyldiacylglycerol synthase
MtrunA17Chr1g0150371	Putative spindle and kinetochore-associated protein
MtrunA17Chr1g0150381	hypothetical protein
MtrunA17Chr1g0150391	Putative leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr1g0150401	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr1g0150411	Putative F-box domain, FBD domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr1g0150421	hypothetical protein
MtrunA17Chr1g0150431	hypothetical protein
MtrunA17Chr1g0150441	hypothetical protein
MtrunA17Chr1g0150451	Putative protein-serine/threonine phosphatase
MtrunA17Chr1g0150461	hypothetical protein
MtrunA17Chr1g0150471	Putative transcription factor C2C2-CO-like family
MtrunA17Chr1g0150481	Putative ribosomal protein L53
MtrunA17Chr1g0150491	hypothetical protein
MtrunA17Chr1g0150501	hypothetical protein
MtrunA17Chr1g0150511	Putative histidine kinase response regulator and transcription factor RR-A-type family
MtrunA17Chr1g0150531	Putative histidine kinase
MtrunA17Chr1g0150541	Putative ubiquitinyl hydrolase 1
MtrunA17Chr1g0150551	Putative tocopherol O-methyltransferase
MtrunA17Chr1g0150561	Putative F-box domain, galactose oxidase, beta-propeller
MtrunA17Chr1g0150571	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr1g0150581	Putative oxoglutarate/iron-dependent dioxygenase, alpha-ketoglutarate-dependent dioxygenase AlkB
MtrunA17Chr1g0150601	Putative alpha/Beta hydrolase
MtrunA17Chr1g0150621	hypothetical protein
MtrunA17Chr1g0150631	Putative transcription factor AP2-EREBP family
MtrunA17Chr1g0150641	hypothetical protein
MtrunA17Chr1g0150651	hypothetical protein
MtrunA17Chr1g0150661	Putative transcription factor AP2-EREBP family
MtrunA17Chr1g0150671	Putative transcription factor AP2-EREBP family
MtrunA17Chr1g0150681	hypothetical protein
MtrunA17Chr1g0150691	Putative transcription factor AP2-EREBP family
MtrunA17Chr1g0150701	Putative Smr domain-containing protein
MtrunA17Chr1g0150711	hypothetical protein
MtrunA17Chr1g0150721	Putative Ctr copper transporter
MtrunA17Chr1g0150731	Putative GCR1-cAMP receptor
MtrunA17Chr1g0150741	Putative protein kinase RLK-Pelle-RLCK-VIIa-2 family
MtrunA17Chr1g0150751	hypothetical protein
MtrunA17Chr1g0150761	Putative protein kinase RLK-Pelle-RLCK-IXb family
MtrunA17Chr1g0150771	Putative harbinger transposase-derived nuclease domain-containing protein
MtrunA17Chr1g0150781	Putative protein-serine/threonine phosphatase
MtrunA17Chr1g0150791	Putative EEIG1/EHBP1 domain-containing protein
MtrunA17Chr1g0150801	Putative transcription factor WRKY family
MtrunA17Chr1g0150811	17.9 kDa class II heat shock protein
MtrunA17Chr1g0150821	Putative chromatin regulator PHD family
MtrunA17Chr1g0150831	hypothetical protein
MtrunA17Chr1g0150841	Putative photosystem II
MtrunA17Chr1g0150851	Putative spermidine synthase
MtrunA17Chr1g0150871	hypothetical protein
MtrunA17Chr1g0150901	hypothetical protein
MtrunA17Chr1g0150921	Putative transcription factor C2H2 family
MtrunA17Chr1g0150941	Putative cytokinin dehydrogenase
MtrunA17Chr1g0150971	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr1g0150981	hypothetical protein
MtrunA17Chr1g0150991	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr1g0151001	hypothetical protein
MtrunA17Chr1g0151011	hypothetical protein
MtrunA17Chr1g0151021	Putative ribosomal protein L33
MtrunA17Chr1g0151031	hypothetical protein
MtrunA17Chr1g0151041	Putative protein kinase RLK-Pelle-LRR-XIIIb family
MtrunA17Chr1g0151051	Putative C2 domain, phosphoribosyltransferase
MtrunA17Chr1g0151061	Putative myosin ATPase
MtrunA17Chr1g0151071	hypothetical protein
MtrunA17Chr1g0151081	Putative chalcone isomerase
MtrunA17Chr1g0151091	Putative F-box domain-containing protein
MtrunA17Chr1g0151101	hypothetical protein
MtrunA17Chr1g0151111	hypothetical protein
MtrunA17Chr1g0151121	hypothetical protein
MtrunA17Chr1g0151131	Putative F-box domain-containing protein
MtrunA17Chr1g0151141	Guanine nucleotide-binding protein alpha-1 subunit
MtrunA17Chr1g0151151	Putative tRNA(Thr) (cytosine(32)-N(3))-methyltransferase
MtrunA17Chr1g0151161	hypothetical protein
MtrunA17Chr1g0151181	hypothetical protein
MtrunA17Chr1g0151191	Putative magnesium transporter NIPA
MtrunA17Chr1g0151201	Putative LOG family protein
MtrunA17Chr1g0151211	hypothetical protein
MtrunA17Chr1g0151221	Putative thromboxane-A synthase
MtrunA17Chr1g0151231	Putative glutathione dehydrogenase (ascorbate)
MtrunA17Chr1g0151241	Putative glycosidase
MtrunA17Chr1g0151251	Putative glycosidase
MtrunA17Chr1g0151261	Putative transcription factor C2H2 family
MtrunA17Chr1g0151271	Putative glycosidase
MtrunA17Chr1g0151281	Putative glycosidase
MtrunA17Chr1g0151291	hypothetical protein
MtrunA17Chr1g0151301	Putative glycosidase
MtrunA17Chr1g0151321	Putative glycosidase
MtrunA17Chr1g0151341	hypothetical protein
MtrunA17Chr1g0151351	Putative transcription factor C2H2 family
MtrunA17Chr1g0151361	Putative feruloyl esterase
MtrunA17Chr1g0151371	Putative acyl-lipid (11-3)-desaturase
MtrunA17Chr1g0151381	Putative alpha/Beta hydrolase
MtrunA17Chr1g0151391	Putative acyl-lipid (11-3)-desaturase
MtrunA17Chr1g0151401	Putative ceramidase
MtrunA17Chr1g0151411	hypothetical protein
MtrunA17Chr1g0151421	Putative flagellum site-determining protein YlxH/ Fe-S cluster assembling factor NBP35
MtrunA17Chr1g0151431	Putative zinc/iron permease
MtrunA17Chr1g0151441	hypothetical protein
MtrunA17Chr1g0151451	hypothetical protein
MtrunA17Chr1g0151461	Putative transcription factor C2C2-GATA family
MtrunA17Chr1g0151471	Putative transcription factor C2C2-GATA family
MtrunA17Chr1g0151481	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr1g0151491	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr1g0151501	Glycine dehydrogenase (decarboxylating)
MtrunA17Chr1g0151511	hypothetical protein
MtrunA17Chr1g0151521	hypothetical protein
MtrunA17Chr1g0151531	hypothetical protein
MtrunA17Chr1g0151541	Putative protein kinase TKL-CTR1-DRK-2 family
MtrunA17Chr1g0151551	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr1g0151561	hypothetical protein
MtrunA17Chr1g0151571	Putative F-box domain, FBD domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr1g0151581	hypothetical protein
MtrunA17Chr1g0151591	hypothetical protein
MtrunA17Chr1g0151601	Putative F-box domain-containing protein
MtrunA17Chr1g0151611	hypothetical protein
MtrunA17Chr1g0151621	Putative guanylate cyclase activating protein
MtrunA17Chr1g0151631	Putative histone deacetylase
